category,name,link,price,updated_date
snacks,Manjun Double Roasted Seaweed 25G (2.5G X 10's),https://www.cheers.com.np//grocery/product/manjun-double-roasted-seaweed-25g-2-5g-x-10s,Rs. 500,2024-02-28 01:16:30.654120
snacks,Wonderful Pistachios Sweet Chili 127G,https://www.cheers.com.np//grocery/product/wonderful-pistachios-sweet-chili-127g,Rs. 400,2024-02-28 01:16:30.655123
snacks,Haldiram's Mexilla Mexican Tomato Classic Tortilla Chips 55G,https://www.cheers.com.np//grocery/product/haldirams-mexilla-mexican-tomato-classic-tortilla-chips-55g,Rs. 60,2024-02-28 01:16:30.656120
snacks,Divella 10-Vermicellini 500G,https://www.cheers.com.np//grocery/product/divella-10-vermicellini-500g,Rs. 315,2024-02-28 01:16:30.657120
snacks,Current Hot n Lemon Sticks 80G,https://www.cheers.com.np//grocery/product/current-hot-n-lemon-sticks-80g,Rs. 50,2024-02-28 01:16:30.658120
snacks,Maggi Masala Noodles 560G (8 Pack),https://www.cheers.com.np//grocery/product/maggi-masala-noodles-560g-8-pack,Rs. 289,2024-02-28 01:16:30.658120
snacks,Haldiram's Aloo Bhujia 1KG,https://www.cheers.com.np//grocery/product/haldirams-aloo-bhujia-1kg,Rs. 635,2024-02-28 01:16:30.660120
snacks,Haldiram's Nut Cracker 400G,https://www.cheers.com.np//grocery/product/haldirams-nut-cracker-400g-1,Rs. 278,2024-02-28 01:16:30.661205
snacks,Haldiram's Navrattan 1KG,https://www.cheers.com.np//grocery/product/haldirams-navrattan-1kg,Rs. 630,2024-02-28 01:16:30.661734
snacks,Barilla n.1 Angel Hair 500G,https://www.cheers.com.np//grocery/product/barilla-n-1-angel-hair-500g,Rs. 375,2024-02-28 01:16:30.662240
snacks,Barilla n.13 Linguine 500G,https://www.cheers.com.np//grocery/product/barilla-n-13-linguine-500g,Rs. 375,2024-02-28 01:16:30.663246
snacks,Barilla n.41 Chifferi - Elbows 500G,https://www.cheers.com.np//grocery/product/barilla-n-41-chifferi-elbows-500g,Rs. 375,2024-02-28 01:16:30.664246
snacks,Barilla n.44 Maccheroni 500G,https://www.cheers.com.np//grocery/product/barilla-n-44-maccheroni-500g,Rs. 375,2024-02-28 01:16:30.665246
snacks,Barilla n.5 Spaghetti 500G,https://www.cheers.com.np//grocery/product/barilla-n-5-spaghetti-500g,Rs. 375,2024-02-28 01:16:30.665246
snacks,Barilla n.73 Penne Rigate 500G,https://www.cheers.com.np//grocery/product/barilla-n-73-penne-rigate-500g,Rs. 375,2024-02-28 01:16:30.666246
snacks,Barilla n.98 Fusilli 500G,https://www.cheers.com.np//grocery/product/barilla-n-98-fusilli-500g,Rs. 375,2024-02-28 01:16:30.667246
snacks,Bhanbhori Mushrooms Choice Whole 850G,https://www.cheers.com.np//grocery/product/bhanbhori-mushrooms-choice-whole-850g,Rs. 370,2024-02-28 01:16:30.667246
snacks,Blue Diamond Roasted Salted Almonds 113G,https://www.cheers.com.np//grocery/product/blue-diamond-roasted-salted-almonds-113g,Rs. 375,2024-02-28 01:16:30.668246
snacks,Blue Diamond Smokehouse Almonds 113G,https://www.cheers.com.np//grocery/product/blue-diamond-smokehouse-almonds-113g,Rs. 375,2024-02-28 01:16:30.669246
snacks,Blue Diamond Whole Natural Almonds 113G,https://www.cheers.com.np//grocery/product/blue-diamond-whole-natural-almonds-113g,Rs. 375,2024-02-28 01:16:30.670246
snacks,Blue Tribe Plant-Based Chicken Nuggets 250G,https://www.cheers.com.np//grocery/product/blue-tribe-plant-based-chicken-nuggets-250g,Rs. 750,2024-02-28 01:16:30.670246
snacks,Blue Tribe Plant-Based Chicken Sausage 250G,https://www.cheers.com.np//grocery/product/blue-tribe-plant-based-chicken-sausage-250g,Rs. 850,2024-02-28 01:16:30.671368
